Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,,7297.75,96.39389963888293,22.41755446707076,305.2940645862569,246.46403367705634,2972.43329573899,1,184.33661059915727,240
2,,78.5,9.997464891746821,-74.24084365103722,12.850394275050297,7.946131694635458,35.92031021678297,58,202.34713375796179,229
3,,43.25,7.420755373261929,-62.59534719658713,9.222151020837257,6.1982902598201335,26.435028842544405,62,204.61271676300578,226
4,,95.75,11.041407809169618,38.62513782499948,15.049398176208678,8.368709520380907,41.7842712474619,78,200.01044386422976,228
5,,254.0,17.983404693292407,-8.447537889102994,20.08338602488412,17.16666037625649,67.44112549695427,89,203.8484251968504,231
6,,78.25,9.981532666656284,-6.651883712256821,11.743191140484745,9.118733760824487,38.12741699796952,24,201.40575079872204,230
7,,88.0,10.585134856802455,-59.00216497575934,13.991790032833006,8.350381755850286,41.66295090390226,57,199.88920454545453,233
8,,178.75,15.086138293858053,51.77745457021258,16.047303005677005,14.561973457862706,56.50914498161482,69,205.85734265734266,228
9,,33.25,6.506551687525748,88.73761862791447,7.043622910031428,6.220886965909481,22.970562748477143,82,198.54887218045113,228
10,,29.75,6.154581744998688,-1.0587677669546491,6.594537623456722,6.063055628068702,21.81370849898476,61,191.25210084033614,224
11,,157.5,14.161046158239445,-7.716932253271315,18.313840222821206,11.28548527692573,51.62741699796952,85,202.57142857142858,234
12,,258.5,18.1420071192258,-45.53768485046503,21.227238546257496,15.740771809932465,67.82285348059956,60,199.57833655705997,227
13,,81.0,10.155412503859614,41.46028169663521,10.735831756013823,9.884768675105018,36.21320343559643,78,202.51234567901236,223
14,,40.0,7.136496464611085,15.975889137172562,9.53110127226034,5.718430928840302,26.970562748477143,103,198.1,226
15,,270.0,18.5411616971131,17.782593332002147,19.114115731074833,18.31760231148849,62.7842712474619,81,200.4990740740741,225
16,,86.5,10.49453289192004,79.11787611654886,13.880017891346023,8.3208340398424,39.42031021678297,97,202.03757225433526,225
17,,77.5,9.933582672781009,14.204629531389683,14.268494031619927,7.227799626087534,38.69543648263006,37,195.83225806451614,226
18,,53.75,8.272643200907131,12.242060337035852,9.262583483658101,7.709278395840669,28.79898987322333,81,195.50232558139535,222
19,,26.0,5.753627391751592,54.58449547543313,7.715805120225359,5.26224319256627,24.071067811865476,45,192.68269230769232,223
20,,30.75,6.257165172872317,-73.66269094756937,6.949068665010269,5.701519521399187,20.227922061357855,115,202.08130081300814,225
21,,79.75,10.076748170547344,-80.58287626054815,13.139590673801857,8.370707274897445,40.22792206135785,62,194.72100313479623,228
22,,190.25,15.563862739881277,28.401769602872328,17.691577416856646,13.880988895179087,58.062445840513924,47,201.55978975032852,225
23,,118.75,12.296226898414837,22.229221317548895,14.278806708441973,10.779968716111776,45.094931419241725,81,202.02105263157895,226
24,,61.5,8.848967849484623,85.82884142494096,10.290234533640394,7.968153393982946,32.55634918610404,44,192.890243902439,217
25,,46.75,7.715176518808164,-88.2675373650726,9.01893162044912,6.763211582442991,26.02081528017131,78,191.58288770053477,229
26,,169.0,14.668929172241665,58.52468460603932,17.534135661572844,12.856526175712741,57.802038200428264,58,200.2041420118343,227
27,,114.0,12.047792665040703,-46.82713533026395,14.04672334585179,11.730063090701195,50.2842712474619,1,191.59868421052633,225
28,,41.0,7.225151993843567,50.87112633252123,9.122015763462565,6.030337765236363,26.763455967290593,82,194.140243902439,226
