,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
112,23840000,5509.449224,102.3787456,5856.95624,5327.640504,21450.9668,158,200.0536913,218
113,4880000,2492.671053,-105.7943402,4439.376854,1428.127928,9656.854249,158,202.5983607,221
114,11360000,3803.156745,-253.0641674,4310.333727,3427.756343,12574.01154,160,200.0739437,217
115,24120000,5541.708926,-146.4250914,7823.227388,4700.067296,29679.39392,158,200.7296849,221
116,29440000,6122.431886,-89.93308977,10614.44813,4748.115078,29183.55698,158,200.9605978,224
117,1560000,1409.345128,240.3139838,1727.777725,1177.916085,4331.37085,160,195.7435897,218
118,12640000,4011.701365,-216.3678939,5449.52824,3185.147907,15636.75324,161,201.6424051,227
119,4560000,2409.558533,-187.0589636,2861.341934,2136.563724,8428.427125,159,196.5964912,219
120,35480000,6721.200715,-141.3041819,8182.735269,5988.99763,27245.07935,158,204.222097,222
121,720000,957.461473,-314.1592654,1366.260102,653.1972647,2800,164,199.8888889,214
122,2040000,1611.647812,6.101642109,1883.270528,1395.986558,5014.213562,161,198.5098039,222
123,11240000,3783.016321,-8.229864123,4787.544339,3080.368542,13656.85425,159,200.5871886,216
124,4240000,2323.474913,221.7487121,3000.408218,1823.117972,7559.797975,160,197.245283,215
125,27960000,5966.554925,195.7187882,6630.372516,5917.449373,30203.65799,158,199.5851216,224
126,16360000,4564.011279,65.45510448,5661.319122,3771.024125,15959.79797,158,203.6870416,224
127,61280000,8833.126247,-160.8814059,12965.00146,6923.877536,45475.94514,158,202.5874674,231
128,1440000,1354.055001,-202.787394,2274.468517,1035.483011,5131.37085,165,199.1944444,218
129,21520000,5234.511916,24.21904472,6754.019358,4284.607941,19119.59595,159,199.7546468,224
130,7240000,3036.157819,-110.8751913,3395.97474,2826.749112,10076.95526,158,199.7071823,216
131,12720000,4024.376599,-294.088405,5107.418303,3402.401962,14456.85425,158,200.8679245,218
132,42680000,7371.693413,-93.91097634,10722.15715,5610.302817,35673.50647,158,201.7075914,222
133,15640000,4462.450726,-70.64204932,5211.456907,3926.771734,15422.53967,159,201.3657289,220
134,2360000,1733.448968,-154.508702,2213.401029,1355.745679,5345.584412,162,199.1186441,222
135,3360000,2068.353178,192.5475254,3048.015879,1489.230612,7159.797975,163,197.547619,218
136,1400000,1335.116236,-222.7821916,1540.25327,1189.256099,3931.37085,158,206.4,229
137,24440000,5578.348723,-134.9394831,7143.302126,4825.400112,28182.33765,158,203.3944354,224
138,7640000,3118.90207,-130.7800762,3842.210136,2634.571441,10594.11255,158,199.5235602,214
