label,mean_AF568,mean_AF488,ratio_AF568_AF488
1,336.41813261163736,756.5223274695535,0.44469028923032894
2,138.0528455284553,529.4479674796748,0.26074865521842816
3,139.2390829694323,566.1200873362445,0.2459532634225923
4,160.10759969902182,411.55379984951094,0.3890320044610617
5,139.37058340180772,441.39276910435495,0.3157518499557872
6,146.77272727272728,687.3904958677685,0.2135216127587565
7,166.47330595482546,684.9219712525668,0.2430544104905608
8,226.13389830508476,922.1101694915254,0.245235228703508
9,113.61680327868852,519.3340163934427,0.21877404462682737
10,145.74242424242425,450.8263888888889,0.32327837907098217
11,154.4130293159609,643.2605863192182,0.2400473969647713
12,176.307757885763,743.5745950554135,0.237108366878274
13,144.12659574468086,858.6074468085106,0.16786087318530377
14,144.51414141414142,594.5070707070707,0.24308229209497045
15,180.33654688869413,1015.7546012269938,0.1775394831299354
16,246.96453900709218,507.83766745468876,0.48630606753707833
17,117.20890774125132,736.2163308589608,0.15920443873406198
18,121.6659793814433,483.2872852233677,0.25174670036107244
19,154.70303781773094,486.39615623062616,0.3180597458183408
20,320.3565217391304,1011.3913043478261,0.31674834494024584
21,141.84214743589743,530.1979166666666,0.26752679136812424
22,126.34383202099738,610.9571303587052,0.20679655861748988
23,180.13396226415094,534.872641509434,0.3367791662624677
24,152.03287890938253,438.3753007217322,0.34680986510663053
25,170.38883034773446,711.6880927291886,0.2394150360087179
26,166.46999220576774,517.8573655494934,0.32145915705790545
27,137.05666666666667,642.3155555555555,0.21337902450162954
28,221.8097949886105,580.0113895216401,0.38242317133038783
29,131.4768907563025,632.265756302521,0.20794561376402393
30,239.07796340493238,627.7215592680986,0.38086626128261214
31,175.570735650768,688.9555375909458,0.25483609038789634
32,134.78143593811978,682.286394287981,0.19754378376367113
33,265.4672897196262,809.3416407061267,0.32800399283547776
34,196.8864864864865,393.3129129129129,0.5005848524736358
35,224.16455696202533,795.1278481012658,0.2819226587237782
36,139.17047451669595,617.7583479789104,0.22528303336088157
37,227.43541666666667,541.35625,0.42012153118517914
38,255.60815047021944,839.9059561128527,0.3043294890456463
