Nucleus ID,Mean Intensity AF568,Mean Intensity AF488,Ratio
1,138.26115166261152,528.7923763179238,0.26146585664745914
2,139.0383351588171,565.6035049288062,0.245822973067181
3,136.28737541528238,441.4784053156146,0.3087067765361026
4,336.80939226519337,754.5911602209944,0.4463468564441614
5,159.95324283559577,411.50678733031674,0.3887013477306298
6,226.10169491525423,920.9288135593221,0.24551484499804913
7,145.79505076142132,450.96065989847716,0.32329882343671296
8,112.57943925233644,520.2502596053998,0.2163947776551344
9,146.70343392299688,686.4120707596254,0.2137250205414452
10,155.64422483014206,486.5670166769611,0.3198823995369101
11,176.06603773584905,743.1680960548885,0.23691280434466508
12,154.45152895250487,643.6304489264802,0.23996926995936355
13,179.99386503067484,1013.9894829097283,0.17751058375296683
14,226.27716186252772,538.119733924612,0.42049593723732137
15,131.3138918345705,633.0869565217391,0.20741841303448402
16,134.4686507936508,680.7285714285714,0.197536369762556
17,243.86497220015886,508.7164416203336,0.4793730893057329
18,316.95767195767195,1009.7195767195767,0.31390663236164895
19,145.44230769230768,857.9049145299145,0.16953196703856416
20,166.29979035639414,684.4937106918239,0.24295298519005157
21,120.58252427184466,483.8453536754508,0.249217075984836
22,144.2672064777328,594.0344129554655,0.24286001506203722
23,180.13666352497643,534.8171536286522,0.33681915829134657
24,163.84741784037558,517.3544600938967,0.31670243610278004
25,219.9279176201373,580.2837528604119,0.3790006467285002
26,150.1547811993517,438.03403565640195,0.34279249778922327
27,136.36454849498327,643.0568561872909,0.2120567523430105
28,168.30605738575983,711.6195536663124,0.23651128825597267
29,116.4235294117647,737.0502673796791,0.15795873709627334
30,141.48392282958199,530.5104501607717,0.2666939412535703
31,126.32173913043478,610.335652173913,0.20697093260159058
32,178.18795180722893,691.14859437751,0.2578142432130904
33,139.15847347994824,499.745148771022,0.2784588781345213
34,181.68199233716476,633.0204342273307,0.2870081003924101
35,261.477344573235,809.4193888303478,0.3230430950648255
36,227.66625,797.525,0.28546597285351555
37,238.703261734288,627.824184566428,0.380207178382488
38,129.30161290322582,652.7774193548387,0.19807917533516836
39,244.48697068403908,838.3697068403909,0.29162190461944326
40,139.3601895734597,945.4431279620853,0.14740198056529574
41,176.6485623003195,522.3503727369542,0.3381802168049306
42,157.60244845360825,784.485824742268,0.20089903919600632
43,258.01443569553805,603.2979002624672,0.4276733527222419
44,174.6509040333797,651.1961057023644,0.26820016659191387
45,196.69764634882318,393.25709112854554,0.5001757140204443
46,223.21236363636365,613.9454545454546,0.36357034974975566
47,140.08391608391608,617.590034965035,0.22682347213041895
48,137.50292397660817,517.2719298245614,0.2658232856811771
49,142.4547224926972,636.238558909445,0.22390142894966003
50,170.34411085450347,477.57274826789836,0.35668725125611134
51,142.10211027910142,649.5180394826413,0.21878085232596406
52,166.66400709219857,499.50443262411346,0.3336587149319982
53,179.38057948316367,457.6773688332028,0.39193674780222226
54,149.96293245469522,581.3558484349259,0.25795376937965275
55,124.03452527743526,715.8212083847102,0.17327584573433633
56,200.02658959537573,820.4161849710982,0.2438111208184201
57,211.82548476454295,570.6842105263158,0.3711781066611008
58,118.5216718266254,491.9852941176471,0.24090490761352643
59,123.15103734439835,449.3120331950208,0.2740880017583359
60,151.48893360160966,533.9185110663984,0.2837304391245772
61,120.99453551912568,637.7923497267759,0.18970835189691215
62,343.31438415159346,572.1016365202412,0.6000933439725388
63,177.12301587301587,685.2757936507936,0.2584696811329004
64,150.19599427753934,569.2896995708154,0.26383051439499317
65,200.0401891252955,817.9952718676122,0.24454932198883278
66,141.30505415162455,499.94645006016844,0.2826403790538337
67,127.70120025268477,489.73720783322807,0.2607545398024389
68,235.70404271548438,489.6285278413425,0.4813936061990675
69,141.51512738853503,521.2117834394904,0.2715117575713138
70,129.73382624768945,641.7597042513863,0.20215327542109263
71,229.96136962247584,661.3731343283582,0.34770291940571135
72,147.80611270296083,462.9598853868195,0.3192633257619363
73,169.24770039421813,531.087385019711,0.31868145463092973
74,138.96663815226688,742.8648417450813,0.18706853567846485
75,142.77373737373736,557.8515151515152,0.2559350176452587
76,155.90210297316895,471.18201595358954,0.33087447672986947
77,209.32270531400965,641.9130434782609,0.32609199554471835
78,128.47752247752248,643.5914085914086,0.19962591290445258
79,137.68257904525728,459.75759454432733,0.29946776448949486
80,164.98567119155354,568.4079939668175,0.2902592379817675
81,130.897341888176,789.7891842346471,0.165737065663951
82,189.02681992337165,571.8045977011494,0.33057939842268547
83,115.92371871275327,517.373063170441,0.2240621457993531
84,178.8656215005599,544.6159014557671,0.32842526452578635
85,237.90937178166837,1062.2348094747683,0.2239706039188311
86,124.20763500931099,610.5446927374302,0.20343741659994663
87,208.56979806848113,723.4258121158912,0.28830848246685
88,169.03097345132744,558.1946902654868,0.30281723634980023
89,136.74935732647816,1007.6311053984576,0.13571371168856683
90,128.62016293279024,638.0794297352343,0.2015739059103662
91,200.71535022354695,595.5678092399404,0.33701510912703375
92,133.92307692307693,484.1828885400314,0.2765960551123533
93,159.7864406779661,705.4288135593221,0.2265096599495919
94,332.13286713286715,822.8881118881119,0.4036185021202825
95,246.94406392694063,685.9657534246576,0.35999474127400954
96,142.62122687439143,493.3631937682571,0.28907958411949064
97,167.61953727506426,536.6418166238218,0.31234900464822174
98,170.693984962406,664.3684210526316,0.25692669843030297
99,133.48181818181817,487.2909090909091,0.27392634603186444
100,146.45681211041853,595.6580587711487,0.24587397073509099
101,192.26025791324736,585.9882766705745,0.328095741105296
102,136.00207039337474,508.73706004140786,0.2673327364479896
103,153.7064343163539,559.4785522788204,0.27473159371398587
104,195.1909090909091,600.6936363636364,0.3249425285616779
105,166.71791443850267,691.1457219251337,0.2412196287262296
106,124.2663043478261,801.9746376811594,0.15495041677020038
107,247.7,899.05,0.27551304154385187
