Nucleus_ID,Red_Intensity,Green_Intensity,Red_Green_Ratio
1,139.0383351588171,565.6035049288062,0.245822973067181
2,138.23133116883116,528.8725649350649,0.2613698276933749
3,136.29651162790697,441.95681063122925,0.30839328266768895
4,334.8601108033241,754.4141274238227,0.44386776258658645
5,159.95324283559577,411.50678733031674,0.3887013477306298
6,225.76315789473685,921.1672325976231,0.24508379141765774
7,145.8204964990452,451.33099936346275,0.32308992004693665
8,112.57943925233644,520.2502596053998,0.2163947776551344
9,146.71666666666667,686.1697916666667,0.2138197694630368
10,155.16387096774193,644.7064516129033,0.24067367494083325
11,155.64422483014206,486.5670166769611,0.3198823995369101
12,175.91502145922746,743.3888412017168,0.23663930867573157
13,179.85,1013.6289473684211,0.17743179145280505
14,243.7678855325914,508.8139904610493,0.4790903750734274
15,131.44834930777424,633.2428115015974,0.2075796944241232
16,166.29979035639414,684.4937106918239,0.24295298519005157
17,316.95767195767195,1009.7195767195767,0.31390663236164895
18,225.27668845315904,538.9694989106754,0.4179766923888482
19,134.61910424098295,681.351565596512,0.1975765684535063
20,145.44230769230768,857.9049145299145,0.16953196703856416
21,120.53851492019432,483.9167244968772,0.2490893759572308
22,180.13666352497643,534.8171536286522,0.33681915829134657
23,144.10953346855985,594.0811359026369,0.24257550822515556
24,163.50705329153604,517.3808777429467,0.31602840446061514
25,168.30605738575983,711.6195536663124,0.23651128825597267
26,136.36454849498327,643.0568561872909,0.2120567523430105
27,219.9279176201373,580.2837528604119,0.3790006467285002
28,141.48392282958199,530.5104501607717,0.2666939412535703
29,116.0182207931404,735.9110396570204,0.15765250762811223
30,126.32173913043478,610.335652173913,0.20697093260159058
31,150.2869918699187,438.20650406504063,0.34295929082698506
32,139.13980582524272,499.6200647249191,0.27849122893383066
33,178.3462157809984,691.5378421900161,0.2578979846080406
34,181.68199233716476,633.0204342273307,0.2870081003924101
35,261.477344573235,809.4193888303478,0.3230430950648255
36,265.2455089820359,834.1661676646706,0.3179768243593678
37,207.86058981233245,798.3324396782842,0.2603684624115952
38,238.77308917197453,627.859872611465,0.3802967821129304
39,129.06467259498788,652.5125303152789,0.1977964661193967
40,139.3601895734597,945.4431279620853,0.14740198056529574
41,176.2590618336887,522.3582089552239,0.3374294857665336
42,157.64322580645162,784.3129032258065,0.2009953236241296
43,196.60386473429952,393.2427536231884,0.4999554675143195
44,175.80027932960894,652.5321229050279,0.26941245213639176
45,257.85583224115334,603.1231979030144,0.4275342635429818
46,223.43927272727274,613.6152727272728,0.3641357747407022
47,137.181640625,517.2666015625,0.2652049063492933
48,140.02889667250437,617.701401050788,0.22669350665920063
49,142.50634146341463,636.0741463414635,0.2240404554768887
50,166.04436557231588,499.09316770186336,0.33269212306970225
51,169.80092592592592,477.4421296296296,0.35564713582701024
52,142.44013605442177,649.5727891156463,0.21928279392421182
53,179.391065830721,457.7233542319749,0.3919202814803401
54,123.96670776818742,715.6868064118372,0.17321362732632464
55,149.96039603960395,581.5437293729373,0.25786607002245926
56,200.1400462962963,820.7673611111111,0.2438450354864957
57,212.04287690179805,570.701244813278,0.37154794882421227
58,118.5216718266254,491.9852941176471,0.24090490761352643
59,123.15103734439835,449.3120331950208,0.2740880017583359
60,151.48893360160966,533.9185110663984,0.2837304391245772
61,343.31438415159346,572.1016365202412,0.6000933439725388
62,120.99453551912568,637.7923497267759,0.18970835189691215
63,150.19599427753934,569.2896995708154,0.26383051439499317
64,201.87264150943398,819.2995283018868,0.246396628505137
65,177.12301587301587,685.2757936507936,0.2584696811329004
66,235.49619482496195,489.32724505327246,0.4812652416264371
67,127.71220746363062,489.56799493991144,0.2608671497802992
68,141.09518072289157,499.83373493975904,0.28228422945461384
69,141.51512738853503,521.2117834394904,0.2715117575713138
70,129.47495361781077,641.7705627705627,0.20174648251060237
71,230.70490367775832,661.4001751313485,0.34881288568141405
72,147.78871892925432,462.8967495219885,0.31926929511142327
73,142.77373737373736,557.8515151515152,0.2559350176452587
74,138.87842465753425,743.0967465753424,0.18689144488597675
75,155.53678077203205,471.3088128186453,0.33001033832117405
76,170.0611038107753,531.5801576872536,0.3199161995636939
77,137.95660260384378,459.37755734655923,0.30031202090216147
78,127.98902195608783,643.0788423153692,0.1990253970963662
79,209.08131655372702,641.9090029041627,0.3257179999155472
80,130.75045871559632,789.7165137614679,0.16556632213859113
81,165.5622641509434,568.474716981132,0.2912394504194608
82,189.02681992337165,571.8045977011494,0.33057939842268547
83,115.98313253012049,516.6108433734939,0.22450773927381196
84,178.04617117117118,543.4977477477478,0.32759320882008014
85,168.50230414746545,557.7373271889401,0.3021176742764131
86,237.8762886597938,1062.4474226804123,0.22389464512009813
87,208.0679012345679,723.5864197530864,0.28755086545926073
88,124.16007532956685,610.723163841808,0.20330009189192522
89,136.74935732647816,1007.6311053984576,0.13571371168856683
90,128.62563580874874,638.3652085452696,0.20149224000140237
91,200.6072463768116,593.8130434782609,0.3378289658336811
92,133.71056782334384,484.26892744479494,0.27610808838976436
93,159.66666666666666,705.4410517387616,0.22633594440403262
94,328.7163120567376,821.2978723404256,0.40024006286538344
95,247.22576966932726,686.1778791334093,0.36029399546011986
96,142.19140625,493.1875,0.2883110505639336
97,167.34678111587982,536.8609442060086,0.311713457501323
98,170.73192771084337,664.7966867469879,0.2568182590474033
99,133.48181818181817,487.2909090909091,0.27392634603186444
100,144.9355992844365,595.9821109123435,0.24318783505525973
101,192.6639344262295,586.2213114754098,0.3286539241320488
102,136.00207039337474,508.73706004140786,0.2673327364479896
103,153.7064343163539,559.4785522788204,0.27473159371398587
104,196.1633393829401,600.4337568058077,0.3267027164270234
105,166.89185580774367,691.5126835781041,0.2413431593824031
106,124.32549728752261,801.7106690777576,0.15507526852616244
107,247.7,899.05,0.27551304154385187
