Country,Total Cases,New Cases,Total Deaths,New Deaths
Somalia,"27,334",,"1,361",
Micronesia,"26,530",,65,
Congo,"25,375",,386,
Solomon Islands,"24,575",,153,
San Marino,"24,504",,126,
Timor-Leste,"23,460",,138,
Burkina Faso,"22,056",,396,
Liechtenstein,"21,479",,94,
Gibraltar,"20,550",,113,
Grenada,"19,693",,238,
Bermuda,"18,860",,165,
Nicaragua,"18,491",,225,
South Sudan,"18,368",,138,
Tajikistan,"17,786",,125,
Equatorial Guinea,"17,229",,183,
Monaco,"16,931",,67,
Tonga,"16,821",,13,
Samoa,"16,778",,31,
Macao,"16,716",,123,
Marshall Islands,"16,133",,17,
Dominica,"15,760",,74,
Djibouti,"15,690",,189,
CAR,"15,368",,113,
Gambia,"12,626",,372,
Saint Martin,"12,324",,63,
Vanuatu,"12,019",,14,
Greenland,"11,971",,21,
Yemen,"11,945",,"2,159",
Caribbean Netherlands,"11,682",,38,
Sint Maarten,"11,051",,92,
Eritrea,"10,189",,103,
Niger,"9,931",,312,
St. Vincent Grenadines,"9,631",,124,
Guinea-Bissau,"9,614",,177,
Comoros,"9,109",,161,
Antigua and Barbuda,"9,106",,146,
Liberia,"8,090",,295,
Sierra Leone,"7,762",,126,
Chad,"7,701",,194,
British Virgin Islands,"7,305",,64,
Cook Islands,"7,152",,2,
Turks and Caicos,"6,630",,39,
Saint Kitts and Nevis,"6,607",,48,
Sao Tome and Principe,"6,597",,80,
Palau,"6,234",,9,
St. Barth,"5,507",,6,
Nauru,"5,393",,1,
Kiribati,"5,085",,24,
Anguilla,"3,904",,12,
Wallis and Futuna,"3,550",,8,
Saint Pierre Miquelon,"3,452",,2,
Tuvalu,"2,943",,1,
Saint Helena,"2,166",,,
Falkland Islands,"1,930",,,
Montserrat,"1,403",,8,
Niue,887,,,
Diamond Princess,712,,13,
Tokelau,80,,,
Vatican City,29,,,
Western Sahara,10,,1,
MS Zaandam,9,,2,
China,"503,302",,"5,272",
Total:,"128,176,011",,"1,645,417",
Total:,"220,733,449",+67,"1,549,698",
Total:,"249,987,374",+58,"2,071,024",+1
Total:,"68,987,851",,"1,360,616",
Total:,"14,644,324",,"30,358",
Total:,"12,837,874",,"258,830",
Total:,721,,15,
Total:,"695,367,604",+125,"6,915,958",+1
